2025-02-16 00:44:49,156-DEBUG-【views-update_events: line 180】日程更新，详情：{'id': '1', 'title': '语文课', 'start': '2025-02-19T21:00:00.000Z', 'end': '2025-02-19T23:00:00.000Z', 'description': '', 'importance': 'not-important', 'urgency': 'not-urgent'}
2025-02-16 00:44:50,023-DEBUG-【views-update_events: line 180】日程更新，详情：{'id': '1', 'title': '语文课', 'start': '2025-02-18T22:00:00.000Z', 'end': '2025-02-19T00:00:00.000Z', 'description': '', 'importance': 'not-important', 'urgency': 'not-urgent'}
2025-02-16 00:45:50,522-DEBUG-【views-update_events: line 180】日程更新，详情：{'id': '1', 'title': '语文课', 'start': '2025-02-18T19:30:00.000Z', 'end': '2025-02-18T21:30:00.000Z', 'description': '', 'importance': 'not-important', 'urgency': 'not-urgent'}
2025-02-16 00:48:27,999-DEBUG-【views-update_events: line 180】日程更新，详情：{'id': '1', 'title': '语文课', 'start': '2025-02-20T18:00:00.000Z', 'end': '2025-02-20T20:00:00.000Z', 'description': '', 'importance': 'not-important', 'urgency': 'not-urgent'}
2025-02-16 00:48:28,820-DEBUG-【views-update_events: line 180】日程更新，详情：{'id': '1', 'title': '语文课', 'start': '2025-02-17T23:30:00.000Z', 'end': '2025-02-18T01:30:00.000Z', 'description': '', 'importance': 'not-important', 'urgency': 'not-urgent'}
2025-02-16 00:48:29,695-DEBUG-【views-update_events: line 180】日程更新，详情：{'id': '1', 'title': '语文课', 'start': '2025-02-17T19:00:00.000Z', 'end': '2025-02-17T21:00:00.000Z', 'description': '', 'importance': 'not-important', 'urgency': 'not-urgent'}
2025-02-16 00:48:30,475-DEBUG-【views-update_events: line 180】日程更新，详情：{'id': '1', 'title': '语文课', 'start': '2025-02-19T19:00:00.000Z', 'end': '2025-02-19T21:00:00.000Z', 'description': '', 'importance': 'not-important', 'urgency': 'not-urgent'}
2025-02-16 00:50:24,189-DEBUG-【views-update_events: line 180】日程更新，详情：{'id': '1', 'title': '语文课', 'start': '2025-02-18T20:30:00.000Z', 'end': '2025-02-18T22:30:00.000Z', 'description': '', 'importance': 'not-important', 'urgency': 'not-urgent'}
2025-02-16 00:55:53,072-DEBUG-【views-update_events: line 180】日程更新，详情：{'id': '1', 'title': '语文课', 'start': '2025-02-19T05:00:00.000Z', 'end': '2025-02-19T07:00:00.000Z', 'description': '', 'importance': 'not-important', 'urgency': 'not-urgent'}
2025-02-16 01:07:39,043-DEBUG-【views-update_events: line 180】日程更新，详情：{'id': '1', 'title': '语文课', 'start': '2025-02-18T23:00:00.000Z', 'end': '2025-02-19T01:00:00.000Z', 'description': '', 'importance': 'not-important', 'urgency': 'not-urgent'}
2025-02-16 01:07:39,537-DEBUG-【views-update_events: line 180】日程更新，详情：{'id': '1', 'title': '语文课', 'start': '2025-02-21T20:30:00.000Z', 'end': '2025-02-21T22:30:00.000Z', 'description': '', 'importance': 'not-important', 'urgency': 'not-urgent'}
2025-02-16 01:07:39,983-DEBUG-【views-update_events: line 180】日程更新，详情：{'id': '1', 'title': '语文课', 'start': '2025-02-17T19:30:00.000Z', 'end': '2025-02-17T21:30:00.000Z', 'description': '', 'importance': 'not-important', 'urgency': 'not-urgent'}
2025-02-16 01:12:51,240-DEBUG-【views-update_events: line 180】日程更新，详情：{'id': '1', 'title': '语文课', 'start': '2025-02-18T21:30:00.000Z', 'end': '2025-02-18T23:30:00.000Z', 'description': '', 'importance': 'not-important', 'urgency': 'not-urgent'}
2025-02-16 01:14:53,268-DEBUG-【views-update_events: line 180】日程更新，详情：{'id': '1', 'title': '语文课', 'start': '2025-02-19T19:00:00.000Z', 'end': '2025-02-19T21:00:00.000Z', 'description': '', 'importance': 'not-important', 'urgency': 'not-urgent'}
2025-02-16 01:33:41,160-DEBUG-【views-update_events: line 180】日程更新，详情：{'id': '1', 'title': '语文课', 'start': '2025-02-19T19:00:00.000Z', 'end': '2025-02-19T21:00:00.000Z', 'description': '', 'importance': 'important', 'urgency': 'urgent'}
2025-02-16 01:33:45,893-DEBUG-【views-update_events: line 180】日程更新，详情：{'id': '1', 'title': '语文课', 'start': '2025-02-18T04:30:00.000Z', 'end': '2025-02-18T06:30:00.000Z', 'description': '', 'importance': 'important', 'urgency': 'urgent'}
2025-02-16 01:33:54,061-DEBUG-【views-update_events: line 180】日程更新，详情：{'id': '1', 'title': '语文课', 'start': '2025-02-19T22:30:00.000Z', 'end': '2025-02-20T00:30:00.000Z', 'description': '', 'importance': 'important', 'urgency': 'urgent'}
2025-02-16 01:34:10,317-DEBUG-【views-update_events: line 180】日程更新，详情：{'id': '1', 'title': '语文课', 'start': '2025-02-19T22:30:00.000Z', 'end': '2025-02-20T00:30:00.000Z', 'description': '边上课边操逼', 'importance': 'important', 'urgency': 'urgent'}
