2025-02-17 20:34:40,840-DEBUG-【views-update_events: line 180】日程更新，详情：{'id': '1', 'title': '语文课', 'start': '2025-02-20T19:00:00.000Z', 'end': '2025-02-20T21:00:00.000Z', 'description': '边上课边操逼', 'importance': 'important', 'urgency': 'urgent'}
2025-02-17 20:36:40,628-DEBUG-【views-create_event: line 225】用户创建了新日程，详情 {'id': 'fc058a34-6dc6-4966-8fe0-49dfae60b5a3', 'title': '数学课', 'start': '2025-02-20T03:00', 'end': '2025-02-20T05:00', 'description': '睡觉', 'importance': 'important', 'urgency': 'urgent'}
2025-02-17 20:36:41,714-DEBUG-【views-update_events: line 180】日程更新，详情：{'id': 'fc058a34-6dc6-4966-8fe0-49dfae60b5a3', 'title': '数学课', 'start': '2025-02-20T01:30:00.000Z', 'end': '2025-02-20T03:30:00.000Z', 'description': '睡觉', 'importance': 'important', 'urgency': 'urgent'}
2025-02-17 20:36:43,730-DEBUG-【views-update_events: line 180】日程更新，详情：{'id': '1', 'title': '语文课', 'start': '2025-02-21T05:30:00.000Z', 'end': '2025-02-21T07:30:00.000Z', 'description': '边上课边操逼', 'importance': 'important', 'urgency': 'urgent'}
2025-02-17 20:36:44,599-DEBUG-【views-update_events: line 180】日程更新，详情：{'id': 'fc058a34-6dc6-4966-8fe0-49dfae60b5a3', 'title': '数学课', 'start': '2025-02-20T05:30:00.000Z', 'end': '2025-02-20T07:30:00.000Z', 'description': '睡觉', 'importance': 'important', 'urgency': 'urgent'}
2025-02-17 20:37:42,080-DEBUG-【views-create_event: line 225】用户创建了新日程，详情 {'id': 'bf78e3c5-3ad9-4362-8dae-9d7ddf159272', 'title': '英语课', 'start': '2025-02-19T02:00', 'end': '2025-02-19T04:00', 'description': '', 'importance': 'important', 'urgency': 'urgent'}
2025-02-17 20:37:46,140-DEBUG-【views-update_events: line 180】日程更新，详情：{'id': 'bf78e3c5-3ad9-4362-8dae-9d7ddf159272', 'title': '英语课', 'start': '2025-02-19T05:30:00.000Z', 'end': '2025-02-19T07:30:00.000Z', 'description': '', 'importance': 'important', 'urgency': 'urgent'}
2025-02-17 20:37:56,103-DEBUG-【views-create_event: line 225】用户创建了新日程，详情 {'id': 'd29ac8ee-6577-4c93-892f-96bb7dd9ae03', 'title': '物理课', 'start': '2025-02-18T13:30', 'end': '2025-02-18T15:30', 'description': '', 'importance': 'important', 'urgency': 'urgent'}
2025-02-17 20:38:03,791-DEBUG-【views-create_event: line 225】用户创建了新日程，详情 {'id': 'ae02e836-93ea-411e-a53d-8ac84ada87b6', 'title': '化学课', 'start': '2025-02-17T13:30', 'end': '2025-02-17T15:30', 'description': '', 'importance': 'important', 'urgency': 'urgent'}
2025-02-17 20:38:05,482-DEBUG-【views-update_events: line 180】日程更新，详情：{'id': 'ae02e836-93ea-411e-a53d-8ac84ada87b6', 'title': '化学课', 'start': '2025-02-20T01:00:00.000Z', 'end': '2025-02-20T03:00:00.000Z', 'description': '', 'importance': 'important', 'urgency': 'urgent'}
2025-02-17 20:38:06,618-DEBUG-【views-update_events: line 180】日程更新，详情：{'id': '2', 'title': '数学课', 'start': '2025-02-18T02:00:00.000Z', 'end': '2025-02-18T04:00:00.000Z', 'description': '睡觉', 'importance': 'important', 'urgency': 'urgent'}
2025-02-17 20:38:07,470-DEBUG-【views-update_events: line 180】日程更新，详情：{'id': '1', 'title': '语文课', 'start': '2025-02-20T23:00:00.000Z', 'end': '2025-02-21T01:00:00.000Z', 'description': '边上课边操逼', 'importance': 'important', 'urgency': 'urgent'}
2025-02-17 20:38:07,961-DEBUG-【views-update_events: line 180】日程更新，详情：{'id': 'bf78e3c5-3ad9-4362-8dae-9d7ddf159272', 'title': '英语课', 'start': '2025-02-21T06:00:00.000Z', 'end': '2025-02-21T08:00:00.000Z', 'description': '', 'importance': 'important', 'urgency': 'urgent'}
2025-02-17 20:38:10,348-DEBUG-【views-update_events: line 180】日程更新，详情：{'id': 'd29ac8ee-6577-4c93-892f-96bb7dd9ae03', 'title': '物理课', 'start': '2025-02-19T04:00:00.000Z', 'end': '2025-02-19T06:00:00.000Z', 'description': '', 'importance': 'important', 'urgency': 'urgent'}
